tag,backbone,ratio,seed,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f_1_mean,test_f_1_std,test_FPR_mean,test_FPR_std,test_FNR_mean,test_FNR_std,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_auc_pr_lift_mean,test_auc_pr_lift_std,test_p_at_k_mean,test_p_at_k_std,test_r_at_k_mean,test_r_at_k_std
exp2_tc_42d,sage,4,0,0.9371319044600972,0.006601737917607461,0.9794748825783544,0.00932484162860139,0.7003591656306118,0.03237527981576357,0.8163416582507649,0.022804712231727718,0.003676565626276361,0.0017290761086849406,0.29964083436938804,0.0323752798157636,0.9563097157663638,0.011694669063379912,0.9124769355105122,0.018612666508703916,0.19999996688112978,0.000171600499651464,4.562356988060152,0.09144392217258258,0.8342851222544552,0.026122989745305712,0.8342851222544552,0.026122989745305712
exp2_tc_42d,sage,4,1,0.9339808366856989,0.006271071929506224,0.9746761131583351,0.008593261343199867,0.6877572869180827,0.030177159503023843,0.8061327986368866,0.021859931747289334,0.004464268788463163,0.001509919305191834,0.31224271308191737,0.030177159503023836,0.9556272987214699,0.010644987603107885,0.9066734103903229,0.018942767351512218,0.19999996688112978,0.000171600499651464,4.533331243456333,0.09267579444105363,0.8295662384307224,0.016935277242940885,0.8295662384307224,0.016935277242940885
exp2_tc_42d,sage,4,2,0.9363975757879419,0.006675945025551215,0.976543115706787,0.00846195004046827,0.6987926509186351,0.03308044115294366,0.8142439311634122,0.02313363771348541,0.004201801596862112,0.0015227792120033673,0.3012073490813648,0.03308044115294365,0.9604439764838835,0.00963357688733961,0.9155768242015545,0.01466528059744609,0.19999996688112978,0.000171600499651464,4.577878234579103,0.07275068845406295,0.839274761707418,0.02198547533434616,0.839274761707418,0.02198547533434616
exp2_tc_42d,sage,4,3,0.9341386205323527,0.00480824241872083,0.9749698696210537,0.007969460283662968,0.6885474513054289,0.02812693496707295,0.806718871246894,0.017677647019333612,0.004464441124110963,0.00157254524824628,0.31145254869457106,0.028126934967072945,0.9580628968517961,0.013074267650330243,0.910169204359794,0.021337599236051757,0.19999996688112978,0.000171600499651464,4.550794523321675,0.10415231271995234,0.8340198922503108,0.028210387610516953,0.8340198922503108,0.028210387610516953
exp2_tc_42d,sage,4,4,0.9331413005182874,0.00791796375124803,0.9691422073996175,0.018811093291118127,0.6885522862273794,0.05102671804138299,0.8037351202385116,0.029322541128769582,0.005712021962454955,0.0042221551419251106,0.3114477137726205,0.051026718041383,0.9521479275275307,0.012518848317668018,0.9024212413983579,0.021547454823256408,0.19999996688112978,0.000171600499651464,4.512088772698711,0.10680147060879258,0.8224747893355435,0.02519320568860641,0.8224747893355435,0.02519320568860641
exp2_tc_42d,sage,5,0,0.94209546382982,0.006190642247377617,0.9759972848481271,0.014794352735647626,0.6691131371736427,0.0355204837920091,0.793431092327813,0.02610154261153962,0.0033088235294117647,0.001996873021373791,0.3308868628263572,0.03552048379200911,0.9553342266765803,0.010083417947281403,0.8969195201581345,0.01554145631863749,0.1666666411186946,0.00015382374364553315,5.381497285353545,0.09175388307969885,0.8201049868766404,0.02422450154378477,0.8201049868766404,0.02422450154378477
exp2_tc_42d,sage,5,1,0.9419642302843105,0.007171473339651318,0.9707835127633452,0.012472484067203369,0.6722634341759911,0.04578604837141517,0.793490972170595,0.03128359639300741,0.004096638655462185,0.0018659541448843456,0.3277365658240089,0.045786048371415165,0.9568787520706584,0.012743046883764495,0.8975442019113048,0.02037779128017291,0.1666666411186946,0.00015382374364553315,5.385249869689792,0.12133029492529661,0.8243030805359857,0.02686917450029477,0.8243030805359857,0.02686917450029477
exp2_tc_42d,sage,5,2,0.9436712627468413,0.006074343760552291,0.9740620695472713,0.01257738139563545,0.6804137311783396,0.03955815029258242,0.8004616109736661,0.026608106400675288,0.0036764705882352936,0.0018527670245550355,0.3195862688216605,0.03955815029258243,0.9553165618713295,0.009443012338243295,0.89557594302075,0.018598463274449622,0.1666666411186946,0.00015382374364553315,5.373445868624123,0.11086547587366702,0.8203764332090067,0.021057876777075994,0.8203764332090067,0.021057876777075994
exp2_tc_42d,sage,5,3,0.9434958823056023,0.0049997565200901525,0.9755566044239726,0.010604069712301342,0.678039093797486,0.030197923282433314,0.7996564922493479,0.02149700629961531,0.003413865546218487,0.001511088629344544,0.32196090620251416,0.030197923282433335,0.9552221796820677,0.011132698693307472,0.8977969396105566,0.02109271649602914,0.1666666411186946,0.00015382374364553315,5.386730678397706,0.12399168164234214,0.8222130128470784,0.020811726142133575,0.8222130128470784,0.020811726142133575
exp2_tc_42d,sage,5,4,0.939819580221271,0.004494308570992724,0.9758233320200933,0.008250517583775133,0.6551933968780219,0.027086413568689044,0.7836893405648554,0.019573776009018995,0.0032563025210084035,0.0011559925783766931,0.34480660312197814,0.027086413568689034,0.9526744141502436,0.008941462376749044,0.8897723196004044,0.013335285851308288,0.1666666411186946,0.00015382374364553315,5.338642161478018,0.08039660309893437,0.8219491642492057,0.01836076104154461,0.8219491642492057,0.01836076104154461
exp2_tc_42d,sage,6,0,0.9481916087129889,0.004229215998983265,0.9759602476520964,0.007706991831394021,0.6536213565409588,0.03321530729700289,0.7823760069919289,0.022752863875651456,0.002713635335911124,0.0009634751509903294,0.34637864345904135,0.033215307297002894,0.9554771108214274,0.009778284902379562,0.8856285697441478,0.014823341324088442,0.1428571106740649,0.00011303457743115351,6.199390259971868,0.10287208346900766,0.8098729106230141,0.020794636572469997,0.8098729106230141,0.020794636572469997
exp2_tc_42d,sage,6,1,0.9489041742417588,0.004163022075192506,0.9742993004000027,0.011104051314015765,0.6599136621080259,0.031520927250606,0.7863940973197105,0.021721790900818994,0.00293233875078081,0.001353478949064455,0.340086337891974,0.03152092725060602,0.9546647232641018,0.01056653708264143,0.8844149308047603,0.01419098712661798,0.1428571106740649,0.00011303457743115351,6.190902307108251,0.09894704521315337,0.8109220886862827,0.020504686696608872,0.8109220886862827,0.020504686696608872
exp2_tc_42d,sage,6,2,0.947403770987792,0.0048699658480992536,0.972292709440009,0.010252812755773074,0.6504627711009807,0.035185989659678236,0.7789398287567885,0.024710130819327953,0.0031073551334178965,0.0011929861379804277,0.34953722889901917,0.03518598965967824,0.9530516494406023,0.013439325640467315,0.8786567778061297,0.018980763961640643,0.1428571106740649,0.00011303457743115351,6.1506116635346455,0.1333884753947552,0.8075120873048764,0.025131942518066754,0.8075120873048764,0.025131942518066754
exp2_tc_42d,sage,6,3,0.9492418994388236,0.006250241688584982,0.9757158290524798,0.009945307499670123,0.6612356679099324,0.04490602966041423,0.7874483258768785,0.031780855428985004,0.0027574564949970682,0.0011683944314511787,0.3387643320900677,0.04490602966041422,0.9546347518745432,0.014234691027117372,0.8857483931430146,0.026485053353444244,0.1428571106740649,0.00011303457743115351,6.200180727557177,0.1831727317345207,0.8135412349772068,0.02776335671560115,0.8135412349772068,0.02776335671560115
