tag,graph,ratio,seed,test_auc_mean,test_auc_std,test_auc_pr_mean,test_auc_pr_std,test_prevalence_mean,test_prevalence_std,test_p_at_k_mean,test_p_at_k_std,f75_precision_mean,f75_precision_std,f75_recall_mean,f75_recall_std,f75_f1_mean,f75_f1_std,cal_precision_mean,cal_precision_std,cal_recall_mean,cal_recall_std,cal_f1_mean,cal_f1_std,cal_threshold_mean,cal_threshold_std
v0_leaky,leaky,5,0,0.7343809132044427,0.08769949745220806,0.4859287857013932,0.14210918916124704,0.1666062300118355,0.00561806401293685,0.4481818181818181,0.12129164058292903,0.7036904761904761,0.28420259812332,0.2436363636363636,0.11711248938469639,0.3377327935222672,0.13472455231384636,0.4623051948051947,0.13689133458366454,0.4172727272727273,0.1442787069213289,0.4295889567948391,0.12221375986614118,0.44600000000000006,0.1013464903739203
v0_leaky,leaky,5,1,0.7765535444947209,0.14224011687246166,0.548764681827127,0.20380199658382897,0.1666062300118355,0.00561806401293685,0.4763636363636364,0.20292625103934075,0.5241378066378066,0.30711910018713773,0.2963636363636364,0.2271393548053208,0.3559710078363329,0.23861256238999562,0.48726495726495733,0.21621020490281595,0.4290909090909091,0.2453160851524561,0.4310694619390271,0.20426321606447825,0.4010000000000001,0.09780365819106955
v0_leaky,leaky,5,2,0.7846366378719319,0.0741215053792695,0.5564036204958018,0.13243428574128643,0.1666062300118355,0.00561806401293685,0.5245454545454545,0.16217359674772483,0.6873809523809525,0.14360496506539602,0.3136363636363636,0.16992679242604944,0.4187658909717733,0.18873737772874327,0.4925341325341325,0.15052466590132224,0.49727272727272737,0.22156675600043127,0.4874945103205974,0.1824386171902103,0.40800000000000003,0.07899367063252603
v0_leaky,leaky,5,3,0.7579096393802276,0.13352601677676695,0.5698497191457572,0.1972927771607113,0.1666062300118355,0.00561806401293685,0.5163636363636364,0.17735947113654954,0.6338275613275612,0.30036081874704085,0.3454545454545454,0.22461067224492634,0.40636721379755436,0.21684368700473117,0.5479129204129204,0.1878110723155721,0.49909090909090903,0.20878106159429494,0.5063132863158438,0.17347134645607779,0.42700000000000005,0.08731170215574394
v0_leaky,leaky,5,4,0.7407071849718908,0.08689848807204094,0.5000538228854727,0.12905894752134045,0.1666062300118355,0.00561806401293685,0.4781818181818182,0.11596205959442545,0.6196428571428572,0.3219969744024211,0.2672727272727273,0.19060581972331456,0.34729763700351934,0.21545408940655236,0.4745887445887445,0.16568321755928905,0.3927272727272727,0.19221773696046848,0.41856936235419206,0.1703097363827367,0.4010000000000001,0.10587728746053142
v0_leaky,leaky,10,0,0.7216504854368931,0.1048876560209592,0.3944061173478199,0.16076360072211632,0.0908942710759199,0.003862267258856056,0.3809090909090909,0.16213961945911648,0.5166666666666667,0.35746017649212025,0.14727272727272728,0.10771864177162636,0.22545787545787546,0.1602827468329551,0.47416666666666674,0.1927085210209296,0.31363636363636366,0.172181487525415,0.36468253968253966,0.16630398516298267,0.40300000000000014,0.08420213774008356
v0_leaky,leaky,10,1,0.7346469549867607,0.12168804481761451,0.3932530903946493,0.120519046050301,0.0908942710759199,0.003862267258856056,0.42727272727272736,0.13998556924183148,0.5395238095238095,0.1788276820967654,0.2254545454545455,0.1258798237508625,0.30798750269338504,0.15084152110892704,0.48667995403289516,0.14568786990704302,0.42000000000000004,0.17364456059767808,0.4297109311098407,0.11870986653957778,0.3580000000000001,0.08189424074174367
v0_leaky,leaky,10,2,0.7647440423654016,0.08014177544143047,0.41693483891123967,0.11448876884908901,0.0908942710759199,0.003862267258856056,0.39909090909090905,0.12041022626642507,0.6599999999999999,0.30501973220930645,0.17363636363636364,0.07378647873726218,0.2676964701964702,0.10698733131907133,0.46545454545454545,0.11876109864416146,0.34181818181818185,0.11119188982851387,0.38820126296132484,0.10554627555801799,0.38900000000000007,0.05952590472502988
v0_leaky,leaky,10,3,0.7474624889673434,0.08262936653075095,0.4311619200431097,0.10250521424990795,0.0908942710759199,0.003862267258856056,0.39999999999999997,0.1178316490619611,0.6721428571428572,0.17001937701729902,0.29454545454545455,0.1282931674828133,0.3934904474610357,0.13592141965809207,0.48384920634920636,0.13268218453253866,0.37090909090909097,0.1659654671062899,0.3944348444065768,0.11926736745403044,0.41500000000000004,0.07648529270389182
v0_leaky,leaky,10,4,0.7409267431597529,0.10727165274673942,0.41638326866752806,0.15670333427938438,0.0908942710759199,0.003862267258856056,0.4,0.1409661012074304,0.47714285714285715,0.3598507571165153,0.2181818181818182,0.18870784820533654,0.28315627870581433,0.213396763803902,0.4266269841269842,0.19257228238305446,0.36363636363636365,0.21375990410361692,0.3653940734188412,0.15162958146709082,0.399,0.06935416353759885
